id,nama_kecamatan,kota_id
4869,ARANIO,318
4870,BINTANG ARA,320
4871,HATUNGUN,317
4872,SUNGAI RAYA,327
4873,KURIPAN,328
4874,ASTAMBUL,318
4875,BATANG ALAI UTARA,319
4876,BARABAI,319
4877,LOKPAIKAT,317
4878,WANARAYA,328
4879,PARINGIN,322
4880,BABIRIK,321
4881,BERUNTUNG BARU,318
4882,CERBON,328
4883,DAHA BARAT,327
4884,BARAMBAI,328
4885,KALUMPANG (KELUMPANG),327
4886,BAKUMPAI,328
4887,JEJANGKIT,328
4888,PULAU LAUT UTARA,325
4889,AMUNTAI SELATAN,321
4890,BAJUIN,326
4891,BAKARANGAN,317
4892,PAMUKAN UTARA,325
4893,BATU MANDI,322
4894,PULAU SEBUKU,325
4895,PIANI,317
4896,SAMBUNG MAKMUR,318
4897,BELAWANG,328
4898,TABUKAN,328
4899,PULAU LAUT TANJUNG SELAYAR,325
4900,TATAH MAKMUR,318
4901,CEMPAKA,329
4902,LABUAN AMAS SELATAN,319
4903,KELUMPANG HULU,325
4904,BANUA LAWAS,320
4905,BANJANG,321
4906,DAHA SELATAN,327
4907,SAMPANAHAN,325
4908,PANDAWAN,319
4909,SUNGAI TABUKAN,321
4910,LABUAN AMAS UTARA,319
4911,BUNGUR,317
4912,BATI-BATI,326
4913,GAMBUT,318
4914,SUNGAI PANDAN,321
4915,TANTA,320
4916,CANDI LARAS SELATAN,317
4917,SIMPANG EMPAT,323
4918,DANAU PANGGANG,321
4919,MATARAMAN,318
4920,PARINGIN SELATAN,322
4921,DAHA UTARA,327
4922,BANJARMASIN SELATAN,324
4923,BANJARMASIN BARAT,324
4924,JUAI,322
4925,PANYIPATAN,326
4926,CANDI LARAS UTARA,317
4927,KELUMPANG BARAT,325
4928,TAKISUNG,326
4929,PADANG BATUNG,327
4930,LAMPIHONG,322
4931,SUNGAI LOBAN,323
4932,PULAU LAUT TIMUR,325
4933,PAMUKAN BARAT,325
4934,KARANG BINTANG,323
4935,BATULICIN,323
4936,KURAU,326
4937,HAUR GADING,321
4938,ALALAK,328
4939,KERTAK HANYAR,318
4940,SEI / SUNGAI PINANG,318
4941,MURUNG PUDAK,320
4942,BANJARMASIN TIMUR,324
4943,TABUNGANEN,328
4944,UPAU,320
4945,MARTAPURA KOTA,318
4946,TAMBANG ULANG,326
4947,MUARA UYA,320
4948,HARUAI,320
4949,KINTAP,326
4950,MANTEWE,323
4951,SUNGAI DURIAN,325
4952,KELUMPANG SELATAN,325
4953,BUMI MAKMUR,326
4954,HAMPANG,325
4955,TAPIN SELATAN,317
4956,TAMBAN,328
4957,RANTAU BADAUH,328
4958,JARO,320
4959,PULAU LAUT BARAT,325
4960,KELUMPANG TENGAH,325
4961,KURANJI,323
4962,LANDASAN ULIN,329
4963,BANJAR BARU SELATAN,329
4964,PAMUKAN SELATAN,325
4965,PUGAAN,320
4966,LOKSADO,327
4967,MUARA HARUS,320
4968,MEKAR SARI,328
4969,SALAM BABARIS,317
4970,PULAU LAUT KEPULAUAN,325
4971,BANJAR BARU UTARA,329
4972,PULAU SEMBILAN,325
4973,LIANG ANGGANG,329
4974,KELUMPANG HILIR,325
4975,TELAGA BAUNTUNG,318
4976,KELUMPANG UTARA,325
4977,PULAU LAUT TENGAH,325
4978,MANOR BULATIN (MOOK MANAAR BULATN),330
4979,SAMARINDA ULU,331
4980,KUARO,332
4981,SAMBOJA (SEMBOJA),333
4982,BATU PUTIH,334
4983,LONG IRAM,330
4984,BENTIAN BESAR,330
4985,ANGGANA,333
4986,WARU,335
4987,BONTANG UTARA,336
4988,SEPAKU,335
4989,BARONG TONGKOK,330
4990,LONG IKIS,332
4991,NYUATAN,330
4992,KARANGAN,337
4993,BABULU,335
4994,MUARA BADAK,333
4995,BATU ENGAU,332
4996,PENYINGGAHAN,330
4997,LOA JANAN,333
4998,SUNGAI PINANG,331
4999,KALIORANG,337
5000,TENGGARONG SEBERANG,333
